Symbol	Name	Pinyi	Initial
000768	中航飞机	ZhongHangFeiJi	ZHFJ
000769	菲菲农业	FeiFeiNongYe	FFNY
000776	广发证券	GuangFaZhengQuan	GFZQ
000777	中核科技	ZhongHeKeJi	ZHKJ
000778	新兴铸管	XinXingZhuGuan	XXZG
000779	三毛派神	SanMaoPaiShen	SMPS
000780	平庄能源	PingZhuangNengYuan	PZNY
000782	美达股份	MeiDaGuFen	MDGF
000783	长江证券	ChangJiangZhengQuan	CJZQ
000785	武汉中商	WuHanZhongShang	WHZS
000786	北新建材	BeiXinJianCai	BXJC
000787	S*ST创智	ChuangZhi	CZ
000788	西南合成	XiNanHeCheng	XNHC
000789	江西水泥	JiangXiShuiNi	JXSN
000790	华神集团	HuaShenJiTuan	HSJT
000791	甘肃电投	GanSuDianTou	GSDT
000792	盐湖股份	YanHuGuFen	YHGF
000793	华闻传媒	HuaWenChuanMei	HWCM
000795	太原刚玉	TaiYuanGangYu	TYGY
000796	易食股份	YiShiGuFen	YSGF
000797	中国武夷	ZhongGuoWuYi	ZGWY
000798	中水渔业	ZhongShuiYuYe	ZSYY
000799	酒鬼酒	JiuGuiJiu	JGJ
000800	一汽轿车	YiQiJiaoChe	YQJC
000801	四川九洲	SiChuanJiuZhou	SCJZ
000802	北京旅游	BeiJingLvYou	BJLY
000803	金宇车城	JinYuCheCheng	JYCC
000805	*ST炎黄	YanHuang	YH
000806	*ST银河	YinHe	YH
000807	云铝股份	YunLvGuFen	YLGF
000809	铁岭新城	TieLingXinCheng	TLXC
000810	华润锦华	HuaRunJinHua	HRJH
000811	烟台冰轮	YanTaiBingLun	YTBL
000812	陕西金叶	ShanXiJinYe	SXJY
000813	天山纺织	TianShanFangZhi	TSFZ
000815	*ST美利	MeiLi	ML
000816	江淮动力	JiangHuaiDongLi	JHDL
000817	辽油退市	LiaoYouTuiShi	LYTS
000818	方大化工	FangDaHuaGong	FDHG
000819	岳阳兴长	YueYangXingChang	YYXC
000820	*ST金城	JinCheng	JC
000821	京山轻机	JingShanQingJi	JSQJ
000822	山东海化	ShanDongHaiHua	SDHH
000823	超声电子	ChaoShengDianZi	CSDZ
000825	太钢不锈	TaiGangBuXiu	TGBX
000826	桑德环境	SangDeHuanJing	SDHJ
000827	长兴实业	ChangXingShiYe	CXSY
000828	东莞控股	DongWanKongGu	DWKG
000829	天音控股	TianYinKongGu	TYKG
000830	鲁西化工	LuXiHuaGong	LXHG
000831	*ST关铝	GuanLv	GL
000832	龙涤股份	LongDiGuFen	LDGF
000833	贵糖股份	GuiTangGuFen	GTGF
000835	四川圣达	SiChuanShengDa	SCSD
000836	鑫茂科技	XinMaoKeJi	XMKJ
000837	秦川发展	QinChuanFaZhan	QCFZ
000838	*ST国兴	GuoXing	GX
000839	中信国安	ZhongXinGuoAn	ZXGA
000848	承德露露	ChengDeLuLu	CDLL
000850	华茂股份	HuaMaoGuFen	HMGF
000851	高鸿股份	GaoHongGuFen	GHGF
000852	江钻股份	JiangZuanGuFen	JZGF
000856	冀东装备	JiDongZhuangBei	JDZB
000858	五粮液	WuLiangYe	WLY
000859	国风塑业	GuoFengSuYe	GFSY
000860	顺鑫农业	ShunXinNongYe	SXNY
000861	海印股份	HaiYinGuFen	HYGF
000862	银星能源	YinXingNengYuan	YXNY
000863	三湘股份	SanXiangGuFen	SXGF
000866	扬子退市	YangZiTuiShi	YZTS
000868	安凯客车	AnKaiKeChe	AKKC
000869	张裕A	ZhangYu	ZY
000875	吉电股份	JiDianGuFen	JDGF
000876	新希望	XinXiWang	XXW
000877	天山股份	TianShanGuFen	TSGF
000878	云南铜业	YunNanTongYe	YNTY
000880	潍柴重机	WeiChaiZhongJi	WCZJ
000881	大连国际	DaLianGuoJi	DLGJ
000882	华联股份	HuaLianGuFen	HLGF
000883	湖北能源	HuBeiNengYuan	HBNY
000885	同力水泥	TongLiShuiNi	TLSN
000886	海南高速	HaiNanGaoSu	HNGS
000887	中鼎股份	ZhongDingGuFen	ZDGF
000888	峨眉山A	EMeiShan	EMS
000889	渤海物流	BoHaiWuLiu	BHWL
000890	法尔胜	FaErSheng	FES
000892	*ST星美	XingMei	XM
000893	东凌粮油	DongLingLiangYou	DLLY
000895	双汇发展	ShuangHuiFaZhan	SHFZ
000897	津滨发展	JinBinFaZhan	JBFZ
000898	鞍钢股份	AnGangGuFen	AGGF
000899	*ST赣能	GanNeng	GN
000900	现代投资	XianDaiTouZi	XDTZ
000901	航天科技	HangTianKeJi	HTKJ
000902	中国服装	ZhongGuoFuZhuang	ZGFZ
000903	云内动力	YunNaDongLi	YNDL
000905	厦门港务	XiaMenGangWu	XMGW
000906	物产中拓	WuChanZhongTuo	WCZT
000908	ST天一	TianYi	TY
000909	数源科技	ShuYuanKeJi	SYKJ
000910	大亚科技	DaYaKeJi	DYKJ
000911	南宁糖业	NanNingTangYe	NNTY
000912	泸天化	LuTianHua	LTH
000913	钱江摩托	QianJiangMoTuo	QJMT
000915	山大华特	ShanDaHuaTe	SDHT
000916	华北高速	HuaBeiGaoSu	HBGS
000917	电广传媒	DianGuangChuanMei	DGCM
000918	嘉凯城	JiaKaiCheng	JKC
000919	金陵药业	JinLingYaoYe	JLYY
000920	南方汇通	NanFangHuiTong	NFHT
000921	ST科龙	KeLong	KL
000922	ST佳电	JiaDian	JD
000923	河北宣工	HeBeiXuanGong	HBXG
000925	众合机电	ZhongHeJiDian	ZHJD
000926	福星股份	FuXingGuFen	FXGF
000927	一汽夏利	YiQiXiaLi	YQXL
000928	中钢吉炭	ZhongGangJiTan	ZGJT
000929	兰州黄河	LanZhouHuangHe	LZHH
000930	中粮生化	ZhongLiangShengHua	ZLSH
000931	中关村	ZhongGuanCun	ZGC
000932	华菱钢铁	HuaLingGangTie	HLGT
000933	神火股份	ShenHuoGuFen	SHGF
000935	四川双马	SiChuanShuangMa	SCSM
000936	华西股份	HuaXiGuFen	HXGF
000937	冀中能源	JiZhongNengYuan	JZNY
000938	紫光股份	ZiGuangGuFen	ZGGF
000939	凯迪电力	KaiDiDianLi	KDDL
000948	南天信息	NanTianXinXi	NTXX
000949	新乡化纤	XinXiangHuaXian	XXHX
000950	建峰化工	JianFengHuaGong	JFHG
000951	中国重汽	ZhongGuoZhongQi	ZGZQ
000952	广济药业	GuangJiYaoYe	GJYY
000953	ST河化	HeHua	HH
000955	ST欣龙	XinLong	XL
000956	中原退市	ZhongYuanTuiShi	ZYTS
000957	中通客车	ZhongTongKeChe	ZTKC
000958	ST东热	DongRe	DR
000959	首钢股份	ShouGangGuFen	SGGF
000960	锡业股份	XiYeGuFen	XYGF
000961	中南建设	ZhongNanJianShe	ZNJS
000962	东方钽业	DongFangTanYe	DFTY
000963	华东医药	HuaDongYiYao	HDYY
000965	天保基建	TianBaoJiJian	TBJJ
000966	长源电力	ChangYuanDianLi	CYDL
000967	上风高科	ShangFengGaoKe	SFGK
000968	煤气化	MeiQiHua	MQH
